record_index,source_group,session_id,source_file,id,time,time_iso,asset,symbol,type,action,tradeAction,direction,amount,price,leverage,pnl,balance,confidence,status,error,reason
1,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 12:00:38,2026-03-10 12:00:38,SOL,SOLUSDT,BUY,,OPEN,long,1,86.56,3,0,10.8357,,recorded,,自动开多
2,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 12:05:01,2026-03-10 12:05:01,SOL,SOLUSDT,BUY,,OPEN,long,1,86.38,3,0,10.7925,,recorded,,自动开多
3,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 12:37:00,2026-03-10 12:37:00,SOL,SOLUSDT,BUY,,OPEN,long,1,86.3,10,0,10.36,,recorded,,10x杠杆开多
4,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 14:09:00,2026-03-10 14:09:00,SOL,SOLUSDT,BUY,,OPEN,long,1,86.68,20,0,10.65,,recorded,,📈 20x杠杆开多
5,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 15:45:08,2026-03-10 15:45:08,SOL,SOLUSDT,SELL,,CLOSE,long,1,86.31,10,-0.34,10.2233,,recorded,,超时平仓 14 分钟
6,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 15:51:04,2026-03-10 15:51:04,XRP,XRPUSDT,BUY,,OPEN,long,13.9,1.3813,11,0,10.2137,,recorded,,高频LONG | 1m +0.02% | 3m +0.12% | 5m +0.16% | 波动 0.22% | 量能 1.89x
7,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 15:59:02,2026-03-10 15:59:02,XRP,XRPUSDT,SELL,,CLOSE,long,13.9,1.3793,11,-0.0153,10.1875,,recorded,,超时平仓 7 分钟
8,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 16:03:02,2026-03-10 16:03:02,XRP,XRPUSDT,SELL,,OPEN,short,8.1,1.3764,9,0,10.1819,,recorded,,高频SHORT | 1m -0.07% | 3m -0.22% | 5m -0.22% | 波动 0.29% | 量能 1.71x
9,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 16:06:01,2026-03-10 16:06:01,XRP,XRPUSDT,BUY,,CLOSE,short,8.1,1.3775,9,-0.01,10.1666,,recorded,,信号反转 LONG 0.51
10,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 16:09:05,2026-03-10 16:09:05,SUI,SUIUSDT,SELL,,OPEN,short,5.9,0.947,7,0,10.1638,,recorded,,高频SHORT | 1m -0.37% | 3m -0.17% | 5m +0.22% | 波动 0.69% | 量能 2.85x
11,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 16:10:02,2026-03-10 16:10:02,SUI,SUIUSDT,BUY,,CLOSE,short,5.9,0.947,7,-0.0059,10.1557,,recorded,,信号反转 LONG 0.37
12,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 16:15:04,2026-03-10 16:15:04,DOGE,DOGEUSDT,SELL,,OPEN,short,55,0.09152,6,0,10.1532,,recorded,,高频SHORT | 1m -0.20% | 3m -0.20% | 5m +0.05% | 波动 0.50% | 量能 0.54x
13,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 16:17:02,2026-03-10 16:17:02,DOGE,DOGEUSDT,BUY,,CLOSE,short,55,0.09163,6,-0.0078,10.1435,,recorded,,信号反转 LONG 0.21
14,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 16:54:03,2026-03-10 16:54:03,SUI,SUIUSDT,SELL,,OPEN,short,20.2,0.9514,11,0,10.1339,,recorded,,高频做空 | 1m -0.22% | 3m -0.21% | 5m +0.02% | 波动 0.36% | 量能 0.41x
15,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 16:55:02,2026-03-10 16:55:02,SUI,SUIUSDT,BUY,,CLOSE,short,20.2,0.9513,11,0.0015,10.1193,,recorded,,信号反转 做多 0.42
16,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 17:00:04,2026-03-10 17:00:04,SUI,SUIUSDT,BUY,,OPEN,long,11.8,0.9533,9,0,10.1193,,recorded,,高频做多 | 1m +0.18% | 3m +0.25% | 5m +0.18% | 波动 0.28% | 量能 0.90x
17,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 17:17:02,2026-03-10 17:17:02,SUI,SUIUSDT,SELL,,CLOSE,long,11.8,0.9559,9,0.0225,10.1269,,recorded,,超时平仓 16 分钟
18,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 17:24:03,2026-03-10 17:24:03,SOL,SOLUSDT,SELL,,OPEN,short,0.25,86.96,10,0,10.116,,recorded,,盈利优先做空 | 1m -0.15% | 3m -0.03% | 5m -0.05% | 15m趋势 -0.42% | 波动 0.49% | 量能 1.54x
19,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 17:30:03,2026-03-10 17:30:03,SOL,SOLUSDT,BUY,,CLOSE,short,0.25,87,10,-0.0025,10.1051,,recorded,,跌出24h涨幅前十
20,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 17:37:50,2026-03-10 17:37:50,MLN,MLNUSDT,BUY,,OPEN,long,24.9,3.996,10,0,10.0554,,recorded,,24h涨幅前十全仓做多 | 24h第9名 涨幅 +16.14% | 1m +0.08% | 3m +0.60% | 5m +0.53% | 15m趋势 +4.07% | 波动 2.68% | 量能 1.86x
21,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 17:40:04,2026-03-10 17:40:04,MLN,MLNUSDT,SELL,,CLOSE,long,24.9,4.042,10,1.2767,11.5985,,recorded,,动态止盈 峰值 2.20% 回撤到 1.18%
22,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 17:45:06,2026-03-10 17:45:06,AIA,AIAUSDT,BUY,,OPEN,long,1276,0.0895,10,0,11.5414,,recorded,,24h涨幅前十全仓做多 | 24h第10名 涨幅 +15.29% | 1m +1.47% | 3m +1.92% | 5m +2.18% | 15m趋势 +0.49% | 波动 3.28% | 量能 1.80x
23,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 17:48:03,2026-03-10 17:48:03,AIA,AIAUSDT,SELL,,CLOSE,long,1276,0.08967,10,0.1276,11.5669,,recorded,,跌出24h涨幅前十
24,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 17:54:05,2026-03-10 17:54:05,AIN,AINUSDT,BUY,,OPEN,long,19897,0.05522,10,0,111.0199,,recorded,,24h涨幅前十全仓做多 | 24h第1名 涨幅 +51.47% | 1m +2.18% | 3m +2.96% | 5m +3.70% | 15m趋势 +1.99% | 波动 4.82% | 量能 4.29x
25,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 18:15:35,2026-03-10 18:15:35,AIN,AINUSDT,SELL,,CLOSE,long,19897,0.05367,10,-29.5636,84.5331,,recorded,,软止损 2.20%
26,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 18:21:04,2026-03-10 18:21:04,FLOW,FLOWUSDT,BUY,,OPEN,long,12421.4,0.06702,10,0,84.1156,,recorded,,24h涨幅前十全仓做多 | 24h第1名 涨幅 +58.20% | 1m +0.68% | 3m +1.45% | 5m +0.68% | 15m趋势 +2.18% | 波动 2.36% | 量能 1.68x
27,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 18:35:04,2026-03-10 18:35:04,FLOW,FLOWUSDT,SELL,,CLOSE,long,12421.4,0.06739,10,2.6387,86.0871,,recorded,,跌出24h涨幅前十
28,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 18:49:03,2026-03-10 18:49:03,BTC,BTCUSDT,BUY,,CLOSE,short,0.01,70972.9,12,-0.567,85.0188,,recorded,,持仓过久 90 分钟
29,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 19:05:03,2026-03-10 19:05:03,DOGE,DOGEUSDT,BUY,,CLOSE,short,6447,0.09491,10,0.1289,84.3423,,recorded,,动态止盈 峰值 2.98% 回撤到 0.02%
30,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 19:06:03,2026-03-10 19:06:03,SOL,SOLUSDT,BUY,,OPEN,long,7.71,87.42,10,0,84.0046,,recorded,,高成交额策略做多 | 止损 82.13000000 | 成交额榜第3名 | 24h +3.97% | 1m +0.14% | 3m +0.22% | 5m +0.15% | 15m趋势 +0.25% | 波动 0.39% | 量能 2.62x
31,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 19:10:04,2026-03-10 19:10:04,SOL,SOLUSDT,SELL,,CLOSE,long,7.71,87.25,10,-2.7888,80.8156,,recorded,,跌出24h涨幅前十
32,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 19:12:04,2026-03-10 19:12:04,FLOW,FLOWUSDT,BUY,,OPEN,long,10554.4,0.06882,10,0,80.4442,,recorded,,24h涨幅前十全仓做多 | 止损 0.06654000 | 24h第1名 涨幅 +61.65% | 1m +0.47% | 3m +1.00% | 5m +0.94% | 15m趋势 +1.49% | 波动 1.58% | 量能 1.39x
33,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 19:18:04,2026-03-10 19:18:04,FLOW,FLOWUSDT,SELL,,CLOSE,long,10554.4,0.06876,10,-14.9205,62.1644,,recorded,,软止损 1.92%
34,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 19:32:05,2026-03-10 19:32:05,ARIA,ARIAUSDT,BUY,,OPEN,long,4498,0.13203,10,0,61.8673,,recorded,,24h涨幅前十全仓做多 | 止损 0.12519000 | 24h第5名 涨幅 +33.36% | 1m +0.27% | 3m +0.93% | 5m +0.78% | 15m趋势 +0.69% | 波动 2.45% | 量能 1.49x | 量能趋势 +9.38% | 稳定上升 2/5
35,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 19:48:30,2026-03-10 19:48:30,ARIA,ARIAUSDT,SELL,,CLOSE,long,4498,0.1317,10,-1.3754,60.5203,,recorded,,跌出24h涨幅前十
36,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 19:54:03,2026-03-10 19:54:03,BTC,BTCUSDT,BUY,,OPEN,long,0.008,70830.2,10,0,60.237,,recorded,,24h涨幅前十全仓做多 | 止损 67047.60000000 | 24h第1名 涨幅 +4.78% | 1m +0.03% | 3m +0.17% | 5m +0.25% | 15m趋势 +0.20% | 波动 0.29% | 量能 1.70x | 量能趋势 +108.12% | 稳定上升 3/5
37,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 20:00:10,2026-03-10 20:00:10,BTC,BTCUSDT,SELL,,CLOSE,long,0.008,70733.6,10,-0.7497,59.1813,,recorded,,跌出24h涨幅前十
38,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 20:38:44,2026-03-10 20:38:44,ADA,ADAUSDT,BUY,,OPEN,long,447,0.2648,10,0,59.093,,recorded,,24h涨幅前十全仓做多 | 止损 0.19870000 | 24h第5名 涨幅 +3.84% | RSI 29 | 1m -0.04% | 3m -0.15% | 5m -0.23% | 15m趋势 -0.53% | 波动 0.42% | 量能 0.96x | 回调 ✓
39,history,20260313_170854,data/history/legacy_root/20260313_170854/trades.json,,2026-03-10 20:40:03,2026-03-10 20:40:03,SOL,SOLUSDT,BUY,,OPEN,long,1.08,86.7,10,0,59.0462,,recorded,,24h涨幅前十全仓做多 | 止损 59.35000000 | 24h第3名 涨幅 +3.78% | RSI 29 | 1m -0.06% | 3m -0.06% | 5m -0.06% | 15m趋势 -0.24% | 波动 0.10% | 量能 2.57x | 回调 ✗
